sample,site,ref_mine,pre_post,rip_number,orientation,Ksat.ms,Ksat.cms,Ksat.ums,class,F_S,general
D02,DV,mine,pre,X,NA,9.55E-06,0.001,0.96,slow,NA,DDR
D02,DV,mine,post,1,NA,1.07E-04,0.0107,10.7,moderate,NA,DDR
D02,DV,mine,post,2,NA,2.00E-06,0.0002,0.2,very_slow,NA,DDR
D06,DV,mine,pre,X,NA,5.69E-06,0.0006,5.69,moderate,NA,DDR
D06,DV,mine,post,2,NA,2.50E-05,0.0025,25,moderately_rapid,NA,DDR
D06,DV,mine,post,0,NA,6.90E-06,0.0007,6.9,moderate,NA,DDR
D12,DV,mine,pre,X,NA,1.15E-05,0.0012,11.54,moderate,NA,DDR
D12,DV,mine,post,2,NA,6.59E-05,0.0066,65.86,rapid,NA,DDR
D12,DV,mine,post,0,NA,4.05E-06,0.0004,4.05,moderately_slow,NA,DDR
D17,DV,mine,pre,X,NA,2.09E-06,0.0002,2.09,moderately_slow,NA,DDR
D17,DV,mine,post,2,NA,3.29E-06,0.0003,3.29,moderately_slow,NA,DDR
D17,DV,mine,post,1,NA,2.57E-04,0.0257,257.18,very_rapid,NA,DDR
D24,DV,mine,pre,X,NA,7.19E-06,0.0007,7.19,moderate,NA,DDR
D24,DV,mine,post,2,NA,3.00E-05,0.003,30,moderately_rapid,NA,DDR
D24,DV,mine,post,1,NA,3.45E-06,0.0003,3.45,moderately_slow,NA,DDR
D28,DV,mine,pre,X,NA,4.87E-06,0.0005,4.87,moderate,NA,DDR
D28,DV,mine,post,2,NA,1.86E-04,0.0186,185.57,very_rapid,NA,DDR
D28,DV,mine,post,0,NA,4.02E-05,0.004,40.15,moderately_rapid,NA,DDR
D31,DV,mine,pre,X,NA,4.61E-06,0.0005,4.61,moderate,NA,DDR
D31,DV,mine,post,2,NA,3.00E-06,0.0003,3,moderately_slow,NA,DDR
D31,DV,mine,post,1,NA,9.50E-04,0.095,950.24,very_rapid,NA,DDR
D35,DV,mine,pre,X,NA,2.10E-05,0.0021,21,moderately_rapid,NA,DDR
D35,DV,mine,post,2,NA,1.88E-06,0.0002,1.88,moderately_slow,NA,DDR
D35,DV,mine,post,0,NA,9.00E-06,0.0009,9,moderate,NA,DDR
DR06,DVR,ref,no,NA,NA,6.46E-06,0.0006,6.46,moderate,NA,DDR
DR07,DVR,ref,no,NA,NA,3.24E-05,0.0032,32.4,moderately_rapid,NA,DDR
DR11,DVR,ref,no,NA,NA,1.18E-05,0.0012,11.84,moderate,NA,DDR
SMS,SQ,mine,pre,X,NA,1.43E-04,0.0143,143.11,very_rapid,slope,SQSR
SMF,SQ,mine,pre,X,NA,1.64E-05,0.0016,16.44,moderately_rapid,flat,SQSR
S04,SQ,mine,pre,X,NA,9.51E-06,0.001,9.51,moderate,flat,SQSR
S14,SQ,mine,pre,X,NA,2.96E-06,0.0003,2.96,moderately_slow,flat,SQSR
S16,SQ,mine,pre,X,NA,1.07E-05,0.0011,10.74,moderate,flat,SQSR
S28,SQ,mine,pre,X,NA,6.46E-05,0.0065,64.57,rapid,slope,SQSR
S34,SQ,mine,pre,X,NA,1.63E-04,0.0163,162.82,very_rapid,slope,SQSR
S42,SQ,mine,pre,X,NA,2.11E-05,0.0021,21.1,moderately_rapid,slope,SQSR
SR04,SQR,ref,no,NA,NA,3.05E-05,0.0031,30.52,moderately_rapid,NA,SQSR
SR06,SQR,ref,no,NA,NA,8.10E-06,0.0008,8.1,moderate,NA,SQSR
SR08,SQR,ref,no,NA,NA,1.04E-05,0.001,10.45,moderate,NA,SQSR
H03,HH,mine,no,NA,NA,9.18E-08,0,0.09,very_slow,NA,HHHR
H09,HH,mine,no,NA,NA,2.36E-06,0.0002,2.36,moderately_slow,NA,HHHR
H11,HH,mine,no,NA,NA,1.76E-06,0.0002,1.76,moderately_slow,NA,HHHR
H21,HH,mine,no,NA,NA,5.58E-07,0.0001,0.56,slow,NA,HHHR
H33,HH,mine,no,NA,NA,1.12E-05,0.0011,11.21,moderate,NA,HHHR
H35,HH,mine,no,NA,NA,4.85E-06,0.0005,4.85,moderate,NA,HHHR
H43,HH,mine,no,NA,NA,4.17E-06,0.0004,4.17,moderately_slow,NA,HHHR
H45,HH,mine,no,NA,NA,3.58E-07,0,0.36,very_slow,NA,HHHR
HR08,HHR,ref,no,NA,NA,1.49E-05,0.0015,14.88,moderately_rapid,NA,HHHR
HR11,HHR,ref,no,NA,NA,2.96E-06,0.0003,2.96,moderately_slow,NA,HHHR
HR17,HHR,ref,no,NA,NA,1.23E-05,0.0012,12.27,moderate,NA,HHHR
C08,CT,mine,no,NA,NA,1.47E-08,0,0.01,very_slow,NA,CTRRCRR
C12,CT,mine,no,NA,NA,1.47E-08,0,0.01,very_slow,NA,CTRRCRR
C15,CT,mine,no,NA,NA,2.35E-07,0,0.24,very_slow,NA,CTRRCRR
C22,CT,mine,no,NA,NA,4.03E-06,0.0004,4.03,moderately_slow,NA,CTRRCRR
C36,CT,mine,no,NA,NA,1.47E-08,0,0.01,very_slow,NA,CTRRCRR
C48,CT,mine,no,NA,NA,7.07E-07,0.0001,0.71,slow,NA,CTRRCRR
R06,RR,mine,no,NA,NA,5.40E-07,0.0001,0.54,slow,NA,CTRRCRR
R08,RR,mine,no,NA,NA,1.47E-08,0,0.01,very_slow,NA,CTRRCRR
R16,RR,mine,no,NA,NA,5.58E-07,0.0001,0.56,slow,NA,CTRRCRR
R20,RR,mine,no,NA,NA,2.22E-06,0.0002,2.22,moderately_slow,NA,CTRRCRR
R22,RR,mine,no,NA,NA,1.39E-07,0,0.14,very_slow,NA,CTRRCRR
R34,RR,mine,no,NA,NA,1.47E-08,0,0.01,very_slow,NA,CTRRCRR
CRR02,CTR,ref,no,NA,NA,1.49E-05,0.0015,14.91,moderately_rapid,NA,CTRRCRR
CRR09,CTR,ref,no,NA,NA,1.25E-05,0.0013,12.5,moderate,NA,CTRRCRR
CRR10,CTR,ref,no,NA,NA,5.30E-06,0.0005,5.3,moderate,NA,CTRRCRR
S28,SQ,mine,post,1,NSR,4.53E-04,4.53E-02,4.53E+01,rapid,slope,SQSR
S28,SQ,mine,post,2,NA,1.47E-08,NA,NA,NA,slope,SQSR
S28,SQ,mine,post,1,EWR,1.23E-03,1.23E-01,1.23E+02,rapid,slope,SQSR
S28,SQ,mine,post,0,NA,5.52E-04,5.52E-02,5.52E+01,rapid,slope,SQSR
S34,SQ,mine,post,1,NSR,2.39E-04,2.39E-02,2.39E+01,moderately_rapid,slope,SQSR
S34,SQ,mine,post,2,NA,4.01E-07,4.01E-05,4.01E-02,very_slow,slope,SQSR
S34,SQ,mine,post,1,EWR,7.21E-07,7.21E-05,7.21E-02,very_slow,slope,SQSR
S34,SQ,mine,post,0,NA,6.26E-06,6.26E-04,6.26E-01,slow,slope,SQSR
S16,SQ,mine,post,1,NSR,8.08E-06,8.08E-04,8.08E-01,slow,flat,SQSR
S16,SQ,mine,post,2,NA,1.47E-08,NA,NA,NA,flat,SQSR
S16,SQ,mine,post,1,EWR,6.88E-07,6.88E-05,6.88E-02,very_slow,flat,SQSR
S16,SQ,mine,post,0,NA,1.93E-06,1.93E-04,1.93E-01,very_slow,flat,SQSR
S42,SQ,mine,post,1,NSR,5.28E-06,5.28E-04,5.28E-01,slow,slope,SQSR
S42,SQ,mine,post,2,NA,5.47E-05,5.47E-03,5.47E+00,moderate,slope,SQSR
S42,SQ,mine,post,1,EWR,8.02E-07,8.02E-05,8.02E-02,very_slow,slope,SQSR
S42,SQ,mine,post,0,NA,1.93E-06,1.93E-04,1.93E-01,very_slow,slope,SQSR
SMF,SQ,mine,post,1,NSR,8.81E-07,8.81E-05,8.81E-02,very_slow,flat,SQSR
SMF,SQ,mine,post,2,NA,1.89E-04,1.89E-02,1.89E+01,moderately_rapid,flat,SQSR
SMF,SQ,mine,post,1,EWR,2.93E-03,2.93E-01,2.93E+02,very_rapid,flat,SQSR
SMF,SQ,mine,post,0,NA,1.44E-06,1.44E-04,1.44E-01,very_slow,flat,SQSR
SMS,SQ,mine,post,1,NSR,4.05E-06,4.05E-04,4.05E-01,very_slow,slope,SQSR
SMS,SQ,mine,post,2,NA,6.93E-06,6.93E-04,6.93E-01,slow,slope,SQSR
SMS,SQ,mine,post,1,EWR,1.47E-08,NA,NA,NA,slope,SQSR
SMS,SQ,mine,post,0,NA,2.70E-06,2.70E-04,2.70E-01,very_slow,slope,SQSR
