sample,site,rip,number,type,bulk_density,flat_slope,general
C01,CT,no,x,mine,0.97,NA,CTRRCRR
C03,CT,no,x,mine,0.87,NA,CTRRCRR
C04,CT,no,x,mine,1.23,NA,CTRRCRR
C06,CT,no,x,mine,1.08,NA,CTRRCRR
C07,CT,no,x,mine,1.27,NA,CTRRCRR
C08,CT,no,x,mine,0.78,NA,CTRRCRR
C09,CT,no,x,mine,1,NA,CTRRCRR
C20,CT,no,x,mine,1.39,NA,CTRRCRR
C21,CT,no,x,mine,1.54,NA,CTRRCRR
C22,CT,no,x,mine,1.61,NA,CTRRCRR
C23,CT,no,x,mine,1.5,NA,CTRRCRR
C28,CT,no,x,mine,1.3,NA,CTRRCRR
C29,CT,no,x,mine,1.65,NA,CTRRCRR
C30,CT,no,x,mine,1.32,NA,CTRRCRR
C31,CT,no,x,mine,1.14,NA,CTRRCRR
C39,CT,no,x,mine,1.38,NA,CTRRCRR
C40,CT,no,x,mine,1.07,NA,CTRRCRR
C41,CT,no,x,mine,1,NA,CTRRCRR
C42,CT,no,x,mine,0.51,NA,CTRRCRR
C51,CT,no,x,mine,1.23,NA,CTRRCRR
C52,CT,no,x,mine,1.43,NA,CTRRCRR
R02,RR,no,0,mine,1.05,NA,CTRRCRR
R04,RR,no,0,mine,1.01,NA,CTRRCRR
R06,RR,no,0,mine,1.22,NA,CTRRCRR
R08,RR,no,0,mine,1.07,NA,CTRRCRR
R10,RR,no,0,mine,1.24,NA,CTRRCRR
R12,RR,no,0,mine,1.09,NA,CTRRCRR
R14,RR,no,0,mine,1.33,NA,CTRRCRR
R16,RR,no,0,mine,1.01,NA,CTRRCRR
R18,RR,no,0,mine,1.12,NA,CTRRCRR
R20,RR,no,0,mine,0.99,NA,CTRRCRR
R22,RR,no,0,mine,1.23,NA,CTRRCRR
R24,RR,no,0,mine,0.91,NA,CTRRCRR
R26,RR,no,0,mine,1,NA,CTRRCRR
R28,RR,no,0,mine,1.45,NA,CTRRCRR
R30,RR,no,0,mine,1.19,NA,CTRRCRR
R32,RR,no,0,mine,1.1,NA,CTRRCRR
R34,RR,no,0,mine,1.35,NA,CTRRCRR
CRR01,CTR,no,NA,reference,0.39,NA,CTRRCRR
CRR02,CTR,no,NA,reference,0.59,NA,CTRRCRR
CRR03,CTR,no,NA,reference,0.51,NA,CTRRCRR
CRR04,CTR,no,NA,reference,0.52,NA,CTRRCRR
CRR05,CTR,no,NA,reference,0.79,NA,CTRRCRR
CRR06,CTR,no,NA,reference,0.83,NA,CTRRCRR
CRR07,CTR,no,NA,reference,0.52,NA,CTRRCRR
CRR08,CTR,no,NA,reference,0.54,NA,CTRRCRR
CRR09,CTR,no,NA,reference,0.69,NA,CTRRCRR
CRR10,CTR,no,NA,reference,0.61,NA,CTRRCRR
CRR11,CTR,no,NA,reference,0.54,NA,CTRRCRR
CRR12,CTR,no,NA,reference,0.59,NA,CTRRCRR
D02,DV,pre,x,mine,1.23,NA,DDR
D03,DV,pre,x,mine,1.06,NA,DDR
D04,DV,pre,x,mine,0.93,NA,DDR
D05,DV,pre,x,mine,1.17,NA,DDR
D06,DV,pre,x,mine,1.05,NA,DDR
D07,DV,pre,x,mine,1.19,NA,DDR
D08,DV,pre,x,mine,0.96,NA,DDR
D12,DV,pre,x,mine,0.94,NA,DDR
D13,DV,pre,x,mine,1.13,NA,DDR
D14,DV,pre,x,mine,0.89,NA,DDR
D15,DV,pre,x,mine,0.87,NA,DDR
D16,DV,pre,x,mine,0.93,NA,DDR
D17,DV,pre,x,mine,0.98,NA,DDR
D18,DV,pre,x,mine,1.14,NA,DDR
D19,DV,pre,x,mine,0.7,NA,DDR
D20,DV,pre,x,mine,1.03,NA,DDR
D23,DV,pre,x,mine,0.87,NA,DDR
D24,DV,pre,x,mine,1.23,NA,DDR
D25,DV,pre,x,mine,1.07,NA,DDR
D26,DV,pre,x,mine,0.98,NA,DDR
D27,DV,pre,x,mine,0.92,NA,DDR
D28,DV,pre,x,mine,1.08,NA,DDR
D29,DV,pre,x,mine,1,NA,DDR
D30,DV,pre,x,mine,1.08,NA,DDR
D31,DV,pre,x,mine,1.28,NA,DDR
D32,DV,pre,x,mine,1.12,NA,DDR
D33,DV,pre,x,mine,0.87,NA,DDR
D34,DV,pre,x,mine,0.96,NA,DDR
D35,DV,pre,x,mine,0.82,NA,DDR
D36,DV,pre,x,mine,1.16,NA,DDR
D37,DV,pre,x,mine,0.91,NA,DDR
D38,DV,pre,x,mine,0.84,NA,DDR
D39,DV,pre,x,mine,0.78,NA,DDR
D41,DV,pre,x,mine,1.2,NA,DDR
D42,DV,pre,x,mine,0.94,NA,DDR
D43,DV,pre,x,mine,1.01,NA,DDR
D02,DV,post,0,mine,0.96,NA,DDR
D03,DV,post,1,mine,0.75,NA,DDR
D04,DV,post,2,mine,1.13,NA,DDR
D05,DV,post,0,mine,0.87,NA,DDR
D06,DV,post,1,mine,0.71,NA,DDR
D07,DV,post,0,mine,0.89,NA,DDR
D08,DV,post,0,mine,0.78,NA,DDR
D12,DV,post,1,mine,0.71,NA,DDR
D13,DV,post,2,mine,1,NA,DDR
D14,DV,post,2,mine,1.34,NA,DDR
D15,DV,post,1,mine,1.08,NA,DDR
D16,DV,post,0,mine,0.68,NA,DDR
D17,DV,post,2,mine,1.09,NA,DDR
D18,DV,post,1,mine,0.83,NA,DDR
D19,DV,post,0,mine,0.5,NA,DDR
D20,DV,post,0,mine,0.61,NA,DDR
D23,DV,post,2,mine,0.23,NA,DDR
D24,DV,post,0,mine,0.57,NA,DDR
D25,DV,post,1,mine,1.02,NA,DDR
D26,DV,post,1,mine,1.15,NA,DDR
D27,DV,post,2,mine,1.23,NA,DDR
D28,DV,post,2,mine,1.05,NA,DDR
D29,DV,post,1,mine,1.09,NA,DDR
D30,DV,post,1,mine,1.12,NA,DDR
D31,DV,post,0,mine,1,NA,DDR
D32,DV,post,2,mine,1.16,NA,DDR
D33,DV,post,1,mine,0.95,NA,DDR
D34,DV,post,1,mine,0.9,NA,DDR
D35,DV,post,1,mine,1.11,NA,DDR
D36,DV,post,0,mine,0.87,NA,DDR
D37,DV,post,1,mine,1.25,NA,DDR
D38,DV,post,2,mine,0.86,NA,DDR
D39,DV,post,1,mine,1.17,NA,DDR
D41,DV,post,0,mine,0.66,NA,DDR
D42,DV,post,2,mine,1.26,NA,DDR
D43,DV,post,0,mine,0.93,NA,DDR
DR01,DVR,no,NA,reference,1.02,NA,DDR
DR02,DVR,no,NA,reference,0.83,NA,DDR
DR03,DVR,no,NA,reference,1.32,NA,DDR
DR04,DVR,no,NA,reference,1.07,NA,DDR
DR05,DVR,no,NA,reference,0.98,NA,DDR
DR06,DVR,no,NA,reference,0.91,NA,DDR
DR07,DVR,no,NA,reference,0.84,NA,DDR
DR08,DVR,no,NA,reference,0.85,NA,DDR
DR10,DVR,no,NA,reference,1.1,NA,DDR
H02,HH,no,0,mine,1.21,NA,HHHR
H04,HH,no,0,mine,0.85,NA,HHHR
H06,HH,no,0,mine,1.26,NA,HHHR
H08,HH,no,0,mine,1.19,NA,HHHR
H10,HH,no,0,mine,1.35,NA,HHHR
H13,HH,no,0,mine,1.3,NA,HHHR
H15,HH,no,0,mine,1.52,NA,HHHR
H17,HH,no,0,mine,1.05,NA,HHHR
H19,HH,no,0,mine,1.21,NA,HHHR
H23,HH,no,0,mine,1.4,NA,HHHR
H25,HH,no,0,mine,0.95,NA,HHHR
H27,HH,no,0,mine,0.94,NA,HHHR
H29,HH,no,0,mine,1.15,NA,HHHR
H31,HH,no,0,mine,1.07,NA,HHHR
H33,HH,no,0,mine,1.04,NA,HHHR
H35,HH,no,0,mine,1.21,NA,HHHR
H37,HH,no,0,mine,1.12,NA,HHHR
H39,HH,no,0,mine,0.78,NA,HHHR
H41,HH,no,0,mine,0.97,NA,HHHR
H43,HH,no,0,mine,0.9,NA,HHHR
H45,HH,no,0,mine,1.02,NA,HHHR
H47,HH,no,0,mine,1.29,NA,HHHR
H49,HH,no,0,mine,0.85,NA,HHHR
HR07,HHR,no,NA,reference,0.85,NA,HHHR
HR08,HHR,no,NA,reference,1.04,NA,HHHR
HR09,HHR,no,NA,reference,1.16,NA,HHHR
HR10,HHR,no,NA,reference,0.89,NA,HHHR
HR11,HHR,no,NA,reference,1.19,NA,HHHR
HR12,HHR,no,NA,reference,1.16,NA,HHHR
HR13,HHR,no,NA,reference,1.22,NA,HHHR
HR14,HHR,no,NA,reference,1.31,NA,HHHR
HR15,HHR,no,NA,reference,1.13,NA,HHHR
HR16,HHR,no,NA,reference,1.2,NA,HHHR
HR17,HHR,no,NA,reference,1.19,NA,HHHR
HR18,HHR,no,NA,reference,1.17,NA,HHHR
S02,SQ,pre,x,mine,1.12,NA,SQSR
S04,SQ,pre,x,mine,1.27,flat,SQSR
S06,SQ,pre,x,mine,0.97,NA,SQSR
S08,SQ,pre,x,mine,1.18,NA,SQSR
S10,SQ,pre,x,mine,1.1,NA,SQSR
S12,SQ,pre,x,mine,0.93,NA,SQSR
S14,SQ,pre,x,mine,0.95,flat,SQSR
S16,SQ,pre,x,mine,1.11,flat,SQSR
S18,SQ,pre,x,mine,1.12,NA,SQSR
S20,SQ,pre,x,mine,0.9,NA,SQSR
S22,SQ,pre,x,mine,0.93,NA,SQSR
S24,SQ,pre,x,mine,1.04,NA,SQSR
S26,SQ,pre,x,mine,1.16,NA,SQSR
S28,SQ,pre,x,mine,1.05,slope,SQSR
S30,SQ,pre,x,mine,0.93,NA,SQSR
S32,SQ,pre,x,mine,1.03,NA,SQSR
S34,SQ,pre,x,mine,1.25,slope,SQSR
S36,SQ,pre,x,mine,1.17,NA,SQSR
S40,SQ,pre,x,mine,1.46,NA,SQSR
S42,SQ,pre,x,mine,1.21,slope,SQSR
SR01,SQR,no,NA,reference,0.5,NA,SQSR
SR02,SQR,no,NA,reference,0.99,NA,SQSR
SR03,SQR,no,NA,reference,0.9,NA,SQSR
SR04,SQR,no,NA,reference,0.79,NA,SQSR
SR05,SQR,no,NA,reference,0.62,NA,SQSR
SR06,SQR,no,NA,reference,0.59,NA,SQSR
SR07,SQR,no,NA,reference,0.81,NA,SQSR
SR08,SQR,no,NA,reference,0.78,NA,SQSR
SR09,SQR,no,NA,reference,0.72,NA,SQSR
SR10,SQR,no,NA,reference,0.91,NA,SQSR
SR11,SQR,no,NA,reference,0.56,NA,SQSR
S3,SQ,post,2,mine,1.4,NA,SQSR
S4,SQ,post,1,mine,1.12,flat,SQSR
S5,SQ,post,0,mine,1.22,NA,SQSR
S7,SQ,post,2,mine,1.32,NA,SQSR
S8,SQ,post,1,mine,1.44,NA,SQSR
S9,SQ,post,0,mine,1.25,NA,SQSR
S10,SQ,post,2,mine,1.38,NA,SQSR
S11,SQ,post,1,mine,0.86,NA,SQSR
S12,SQ,post,0,mine,0.9,NA,SQSR
S13,SQ,post,1,mine,1.04,NA,SQSR
S14,SQ,post,1,mine,1.18,flat,SQSR
S16B,SQ,post,1,mine,1.14,flat,SQSR
S17,SQ,post,0,mine,1.01,NA,SQSR
S18,SQ,post,1,mine,1.4,NA,SQSR
S19,SQ,post,2,mine,1.33,NA,SQSR
S20,SQ,post,0,mine,1.01,NA,SQSR
S20,SQ,post,1,mine,1.34,NA,SQSR
S21,SQ,post,2,mine,1.37,NA,SQSR
S21,SQ,post,0,mine,1.25,NA,SQSR
S22,SQ,post,2,mine,1.43,NA,SQSR
S23B,SQ,post,2,mine,1.29,NA,SQSR
S24,SQ,post,1,mine,1.38,NA,SQSR
S25,SQ,post,2,mine,1.18,NA,SQSR
S26,SQ,post,1,mine,1.27,NA,SQSR
S27,SQ,post,2,mine,1.25,NA,SQSR
S28,SQ,post,0,mine,1.2,slope,SQSR
S29,SQ,post,1,mine,1.26,NA,SQSR
S30,SQ,post,2,mine,1.28,NA,SQSR
S32,SQ,post,0,mine,0.8,NA,SQSR
S33,SQ,post,0,mine,0.96,NA,SQSR
S34,SQ,post,0,mine,0.93,slope,SQSR
S35,SQ,post,1,mine,1.46,NA,SQSR
S36,SQ,post,2,mine,1.46,NA,SQSR
S37,SQ,post,0,mine,1.09,NA,SQSR
S38,SQ,post,0,mine,1.03,NA,SQSR
S39,SQ,post,1,mine,1.17,NA,SQSR
S40,SQ,post,0,mine,1.18,NA,SQSR
S41,SQ,post,2,mine,1.45,NA,SQSR
S42,SQ,post,1,mine,1.33,slope,SQSR
